#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.340290e+01  2.201545e+01 -1.138745e+01  0.000000e+00
 2.270823e+01  1.565024e+01 -7.057990e+00  0.000000e+00
 1.390579e+01  9.308161e+00 -4.597627e+00  0.000000e+00
 7.407948e+00  4.438087e+00 -2.969861e+00  0.000000e+00
 3.058818e+00  1.460005e+00 -1.598813e+00  3.350495e-01
 6.480830e-01  1.016649e-01 -5.464181e-01  5.068921e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.068921e-01
 5.478986e-01 -2.568976e-01 -8.047962e-01  5.068921e-01
 2.956795e+00  1.072970e+00 -1.883825e+00  3.419402e-01
 7.303927e+00  4.194811e+00 -3.109117e+00  0.000000e+00
 1.383378e+01  9.206410e+00 -4.627368e+00  0.000000e+00
 2.265169e+01  1.559826e+01 -7.053428e+00  0.000000e+00
 3.339349e+01  2.207391e+01 -1.131959e+01  0.000000e+00
