#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.173272e+00  1.413049e+00  2.397765e-01  5.233029e-01
 4.250328e+00  4.460362e+00  2.100335e-01  2.858788e-01
 9.294399e+00  9.205191e+00 -8.920860e-02  0.000000e+00
 1.629515e+01  1.487136e+01 -1.423784e+00  0.000000e+00
 2.524004e+01  2.028008e+01 -4.959963e+00  0.000000e+00
 3.624773e+01  2.564344e+01 -1.060428e+01  0.000000e+00
 3.791448e+01  2.516138e+01 -1.275310e+01  0.000000e+00
 2.632285e+01  1.987029e+01 -6.452555e+00  0.000000e+00
 1.673257e+01  1.448007e+01 -2.252504e+00  0.000000e+00
 9.261962e+00  8.738303e+00 -5.236586e-01  0.000000e+00
 3.974144e+00  3.849340e+00 -1.248038e-01  2.976151e-01
 8.953054e-01  8.463452e-01 -4.896026e-02  5.271872e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.271872e-01
