#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.173272e+00  1.408084e+00  2.348121e-01  5.233029e-01
 4.250328e+00  4.439940e+00  1.896121e-01  2.858788e-01
 9.294399e+00  9.162578e+00 -1.318208e-01  0.000000e+00
 1.629515e+01  1.480222e+01 -1.492921e+00  0.000000e+00
 2.524004e+01  2.018407e+01 -5.055976e+00  0.000000e+00
 3.624773e+01  2.551797e+01 -1.072976e+01  0.000000e+00
 3.791448e+01  2.504085e+01 -1.287363e+01  0.000000e+00
 2.632285e+01  1.977579e+01 -6.547064e+00  0.000000e+00
 1.673257e+01  1.441257e+01 -2.320001e+00  0.000000e+00
 9.261962e+00  8.695566e+00 -5.663957e-01  0.000000e+00
 3.974144e+00  3.830825e+00 -1.433188e-01  2.976151e-01
 8.953054e-01  8.420537e-01 -5.325172e-02  5.271872e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.271872e-01
