#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.529072e+01  2.448508e+01 -1.080564e+01  0.000000e+00
 2.468726e+01  1.878171e+01 -5.905546e+00  0.000000e+00
 1.558482e+01  1.316307e+01 -2.421748e+00  0.000000e+00
 8.618492e+00  8.157779e+00 -4.607126e-01  0.000000e+00
 3.800857e+00  3.881109e+00  8.025183e-02  3.021340e-01
 9.325188e-01  7.871660e-01 -1.453528e-01  5.210407e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.210407e-01
 9.455332e-01  1.369241e+00  4.237076e-01  5.210407e-01
 3.700822e+00  4.593658e+00  8.928360e-01  3.070258e-01
 8.380004e+00  8.687055e+00  3.070508e-01  0.000000e+00
 1.526326e+01  1.390966e+01 -1.353607e+00  0.000000e+00
 2.435299e+01  1.980969e+01 -4.543306e+00  0.000000e+00
 3.531038e+01  2.661782e+01 -8.692551e+00  0.000000e+00
