#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.571219e-01  1.575222e+00  1.218100e+00  3.767458e-01
 1.368246e+00  5.399698e+00  4.031452e+00  3.649569e-01
 3.054432e+00  1.105787e+01  8.003438e+00  2.492392e-01
 5.177775e+00  1.814440e+01  1.296663e+01  0.000000e+00
 7.329870e+00  2.579398e+01  1.846411e+01  0.000000e+00
 8.110043e+00  3.280670e+01  2.469666e+01  0.000000e+00
 7.355239e+00  3.083937e+01  2.348413e+01  0.000000e+00
 6.191377e+00  2.437705e+01  1.818567e+01  0.000000e+00
 5.101771e+00  1.793161e+01  1.282984e+01  0.000000e+00
 4.542242e+00  1.280834e+01  8.266093e+00  1.963739e-01
 4.461635e+00  9.377752e+00  4.916117e+00  1.984748e-01
 4.654979e+00  8.160043e+00  3.505064e+00  1.935389e-01
 4.573031e+00  9.213846e+00  4.640815e+00  1.955880e-01
 4.664355e+00  1.249546e+01  7.831101e+00  1.933084e-01
 5.184308e+00  1.759155e+01  1.240724e+01  0.000000e+00
 6.252789e+00  2.382839e+01  1.757560e+01  0.000000e+00
 7.470625e+00  3.028243e+01  2.281181e+01  0.000000e+00
 8.228844e+00  3.401567e+01  2.578683e+01  0.000000e+00
 7.525438e+00  2.606755e+01  1.854211e+01  0.000000e+00
 5.361294e+00  1.794782e+01  1.258653e+01  0.000000e+00
 3.155420e+00  1.074885e+01  7.593429e+00  2.444085e-01
 1.477121e+00  4.948384e+00  3.471263e+00  3.579153e-01
 4.011932e-01  1.268765e+00  8.675714e-01  3.767458e-01
 0.000000e+00  0.000000e+00  0.000000e+00  3.767458e-01
