#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.571219e-01  5.973672e-01  2.402453e-01  3.767458e-01
 1.368246e+00  1.392490e+00  2.424410e-02  3.649569e-01
 3.054432e+00  2.882934e+00 -1.714986e-01  2.492392e-01
 5.177775e+00  4.670577e+00 -5.071983e-01  0.000000e+00
 7.329870e+00  6.377223e+00 -9.526479e-01  0.000000e+00
 8.110043e+00  7.822925e+00 -2.871179e-01  0.000000e+00
 7.355239e+00  8.561217e+00  1.205978e+00  0.000000e+00
 6.191377e+00  8.570349e+00  2.378972e+00  0.000000e+00
 5.101771e+00  8.200561e+00  3.098790e+00  0.000000e+00
 4.542242e+00  8.035052e+00  3.492810e+00  1.963739e-01
 4.461635e+00  8.008712e+00  3.547077e+00  1.984748e-01
 4.654979e+00  7.991152e+00  3.336173e+00  1.935389e-01
 4.573031e+00  8.050609e+00  3.477578e+00  1.955880e-01
 4.664355e+00  7.971999e+00  3.307644e+00  1.933084e-01
 5.184308e+00  7.899364e+00  2.715056e+00  0.000000e+00
 6.252789e+00  8.183079e+00  1.930290e+00  0.000000e+00
 7.470625e+00  8.030458e+00  5.598334e-01  0.000000e+00
 8.228844e+00  7.453893e+00 -7.749517e-01  0.000000e+00
 7.525438e+00  6.238676e+00 -1.286763e+00  0.000000e+00
 5.361294e+00  4.602057e+00 -7.592373e-01  0.000000e+00
 3.155420e+00  2.769393e+00 -3.860272e-01  2.444085e-01
 1.477121e+00  1.319553e+00 -1.575677e-01  3.579153e-01
 4.011932e-01  3.687971e-01 -3.239604e-02  3.767458e-01
 0.000000e+00  0.000000e+00  0.000000e+00  3.767458e-01
