#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.404769e+01  1.518516e+01  1.137468e+00  0.000000e+00
 1.252871e+01  1.772516e+01  5.196446e+00  0.000000e+00
 1.163855e+01  2.201291e+01  1.037436e+01  0.000000e+00
 1.123455e+01  2.722684e+01  1.599228e+01  0.000000e+00
 1.097566e+01  3.228487e+01  2.130922e+01  0.000000e+00
 1.042657e+01  3.173911e+01  2.131254e+01  0.000000e+00
 9.339046e+00  2.535117e+01  1.601213e+01  0.000000e+00
 7.646594e+00  1.794328e+01  1.029669e+01  0.000000e+00
 5.231292e+00  1.066654e+01  5.435253e+00  0.000000e+00
 2.498022e+00  4.807095e+00  2.309072e+00  3.728791e-01
 5.916799e-01  1.088186e+00  4.965059e-01  5.004269e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.004269e-01
 8.548398e-01  1.645051e+00  7.902110e-01  5.004269e-01
 3.052616e+00  5.918449e+00  2.865833e+00  3.311798e-01
 6.122980e+00  1.328465e+01  7.161671e+00  0.000000e+00
 9.057319e+00  2.071900e+01  1.166168e+01  0.000000e+00
 1.151797e+01  2.848205e+01  1.696408e+01  0.000000e+00
 1.314571e+01  3.541296e+01  2.226726e+01  0.000000e+00
 1.388130e+01  3.557179e+01  2.169050e+01  0.000000e+00
 1.397371e+01  2.982564e+01  1.585193e+01  0.000000e+00
 1.399960e+01  2.408784e+01  1.008824e+01  0.000000e+00
 1.447746e+01  1.921756e+01  4.740103e+00  0.000000e+00
 1.575065e+01  1.648214e+01  7.314905e-01  0.000000e+00
 1.613541e+01  1.521135e+01 -9.240637e-01  0.000000e+00
