#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.404769e+01  1.459494e+01  5.472486e-01  0.000000e+00
 1.252871e+01  1.576146e+01  3.232749e+00  0.000000e+00
 1.163855e+01  1.802885e+01  6.390291e+00  0.000000e+00
 1.123455e+01  2.076196e+01  9.527407e+00  0.000000e+00
 1.097566e+01  2.295114e+01  1.197549e+01  0.000000e+00
 1.042657e+01  2.191261e+01  1.148604e+01  0.000000e+00
 9.339046e+00  1.784073e+01  8.501688e+00  0.000000e+00
 7.646594e+00  1.278542e+01  5.138824e+00  0.000000e+00
 5.231292e+00  7.649752e+00  2.418460e+00  0.000000e+00
 2.498022e+00  3.437380e+00  9.393580e-01  3.728791e-01
 5.916799e-01  7.484676e-01  1.567877e-01  5.004269e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.004269e-01
 8.548398e-01  1.269096e+00  4.142557e-01  5.004269e-01
 3.052616e+00  4.493915e+00  1.441298e+00  3.311798e-01
 6.122980e+00  1.032919e+01  4.206209e+00  0.000000e+00
 9.057319e+00  1.578533e+01  6.728010e+00  0.000000e+00
 1.151797e+01  2.140662e+01  9.888653e+00  0.000000e+00
 1.314571e+01  2.615157e+01  1.300587e+01  0.000000e+00
 1.388130e+01  2.713122e+01  1.324992e+01  0.000000e+00
 1.397371e+01  2.407176e+01  1.009805e+01  0.000000e+00
 1.399960e+01  2.054377e+01  6.544178e+00  0.000000e+00
 1.447746e+01  1.743461e+01  2.957147e+00  0.000000e+00
 1.575065e+01  1.592531e+01  1.746529e-01  0.000000e+00
 1.613541e+01  1.518105e+01 -9.543622e-01  0.000000e+00
