#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.032290e-01  3.604490e-01  5.722007e-02  2.733060e-01
 1.195324e+00  1.461531e+00  2.662067e-01  2.707596e-01
 2.573253e+00  3.213120e+00  6.398669e-01  2.001735e-01
 4.131879e+00  5.228201e+00  1.096322e+00  1.507322e-01
 5.375417e+00  6.897390e+00  1.521973e+00  0.000000e+00
 5.816482e+00  7.496052e+00  1.679570e+00  0.000000e+00
 5.256722e+00  6.652184e+00  1.395463e+00  0.000000e+00
 3.967616e+00  4.826372e+00  8.587558e-01  1.544429e-01
 2.465202e+00  2.699359e+00  2.341563e-01  2.052018e-01
 1.227547e+00  8.781512e-01 -3.493962e-01  2.698784e-01
 4.738106e-01 -2.477239e-01 -7.215345e-01  2.733060e-01
 2.535193e-01 -6.344178e-01 -8.879371e-01  2.733060e-01
 4.738672e-01 -2.444072e-01 -7.182744e-01  2.733060e-01
 1.227396e+00  8.881806e-01 -3.392154e-01  2.698828e-01
 2.464993e+00  2.701821e+00  2.368280e-01  2.052118e-01
 3.967621e+00  4.826707e+00  8.590866e-01  1.544428e-01
 5.256687e+00  6.654771e+00  1.398084e+00  0.000000e+00
 5.816441e+00  7.494737e+00  1.678296e+00  0.000000e+00
 5.368635e+00  6.923703e+00  1.555068e+00  0.000000e+00
 4.084753e+00  5.290589e+00  1.205836e+00  1.517713e-01
 2.512707e+00  3.238459e+00  7.257523e-01  2.029583e-01
 1.147170e+00  1.488505e+00  3.413352e-01  2.718458e-01
 2.809891e-01  3.757396e-01  9.475048e-02  2.733060e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.733060e-01
