#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 6.508777e+00  7.851150e+00  1.342373e+00  0.000000e+00
 7.561266e+00  8.815986e+00  1.254719e+00  0.000000e+00
 9.500677e+00  1.102615e+01  1.525477e+00  0.000000e+00
 1.225515e+01  1.408637e+01  1.831227e+00  0.000000e+00
 1.547870e+01  1.746923e+01  1.990534e+00  0.000000e+00
 1.751026e+01  1.891461e+01  1.404351e+00  0.000000e+00
 1.401061e+01  1.396485e+01 -4.576742e-02  0.000000e+00
 9.633201e+00  9.082744e+00 -5.504565e-01  0.000000e+00
 5.408257e+00  5.049736e+00 -3.585210e-01  0.000000e+00
 2.230312e+00  2.112008e+00 -1.183038e-01  3.847187e-01
 4.390049e-01  3.809557e-01 -5.804921e-02  4.844180e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.844180e-01
 4.388087e-01  3.793057e-01 -5.950292e-02  4.844180e-01
 2.230303e+00  2.112809e+00 -1.174947e-01  3.847195e-01
 5.408359e+00  5.047922e+00 -3.604374e-01  0.000000e+00
 9.633335e+00  9.080328e+00 -5.530063e-01  0.000000e+00
 1.401053e+01  1.397095e+01 -3.958236e-02  0.000000e+00
 1.751031e+01  1.888933e+01  1.379021e+00  0.000000e+00
 1.520316e+01  1.798999e+01  2.786839e+00  0.000000e+00
 1.143768e+01  1.370981e+01  2.272138e+00  0.000000e+00
 8.319314e+00  1.003280e+01  1.713486e+00  0.000000e+00
 6.445721e+00  7.459258e+00  1.013538e+00  0.000000e+00
 5.780869e+00  6.150516e+00  3.696470e-01  0.000000e+00
 5.966256e+00  6.447562e+00  4.813053e-01  0.000000e+00
