#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 6.508777e+00  9.648204e+00  3.139427e+00  0.000000e+00
 7.561266e+00  1.084829e+01  3.287027e+00  0.000000e+00
 9.500677e+00  1.362412e+01  4.123442e+00  0.000000e+00
 1.225515e+01  1.767855e+01  5.423409e+00  0.000000e+00
 1.547870e+01  2.266835e+01  7.189656e+00  0.000000e+00
 1.751026e+01  2.486234e+01  7.352080e+00  0.000000e+00
 1.401061e+01  1.818583e+01  4.175218e+00  0.000000e+00
 9.633201e+00  1.169777e+01  2.064572e+00  0.000000e+00
 5.408257e+00  6.430922e+00  1.022665e+00  0.000000e+00
 2.230312e+00  2.663182e+00  4.328701e-01  3.847187e-01
 4.390049e-01  4.844839e-01  4.547902e-02  4.844180e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.844180e-01
 4.388087e-01  4.766436e-01  3.783493e-02  4.844180e-01
 2.230303e+00  2.665517e+00  4.352134e-01  3.847195e-01
 5.408359e+00  6.428903e+00  1.020544e+00  0.000000e+00
 9.633335e+00  1.169377e+01  2.060439e+00  0.000000e+00
 1.401053e+01  1.819430e+01  4.183769e+00  0.000000e+00
 1.751031e+01  2.482886e+01  7.318556e+00  0.000000e+00
 1.520316e+01  2.251440e+01  7.311246e+00  0.000000e+00
 1.143768e+01  1.712243e+01  5.684753e+00  0.000000e+00
 8.319314e+00  1.240534e+01  4.086027e+00  0.000000e+00
 6.445721e+00  9.079921e+00  2.634201e+00  0.000000e+00
 5.780869e+00  7.215023e+00  1.434154e+00  0.000000e+00
 5.966256e+00  7.122651e+00  1.156395e+00  0.000000e+00
