#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 6.508777e+00  9.647287e+00  3.138510e+00  0.000000e+00
 7.561266e+00  1.084533e+01  3.284061e+00  0.000000e+00
 9.500677e+00  1.361856e+01  4.117885e+00  0.000000e+00
 1.225515e+01  1.767019e+01  5.415044e+00  0.000000e+00
 1.547870e+01  2.265717e+01  7.178478e+00  0.000000e+00
 1.751026e+01  2.484821e+01  7.337955e+00  0.000000e+00
 1.401061e+01  1.817480e+01  4.164181e+00  0.000000e+00
 9.633201e+00  1.168997e+01  2.056773e+00  0.000000e+00
 5.408257e+00  6.426142e+00  1.017885e+00  0.000000e+00
 2.230312e+00  2.660940e+00  4.306278e-01  3.847187e-01
 4.390049e-01  4.840697e-01  4.506485e-02  4.844180e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.844180e-01
 4.388087e-01  4.762312e-01  3.742259e-02  4.844180e-01
 2.230303e+00  2.663273e+00  4.329695e-01  3.847195e-01
 5.408359e+00  6.424124e+00  1.015765e+00  0.000000e+00
 9.633335e+00  1.168598e+01  2.052640e+00  0.000000e+00
 1.401053e+01  1.818326e+01  4.172732e+00  0.000000e+00
 1.751031e+01  2.481475e+01  7.304437e+00  0.000000e+00
 1.520316e+01  2.250325e+01  7.300091e+00  0.000000e+00
 1.143768e+01  1.711389e+01  5.676218e+00  0.000000e+00
 8.319314e+00  1.239976e+01  4.080449e+00  0.000000e+00
 6.445721e+00  9.077154e+00  2.631433e+00  0.000000e+00
 5.780869e+00  7.214571e+00  1.433702e+00  0.000000e+00
 5.966256e+00  7.123457e+00  1.157201e+00  0.000000e+00
