Prepared by make_fb_optgeo_target.py
300_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-59 molecule_id 12166120 | SUCCESS
301_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-6 molecule_id 12166192 | SUCCESS
302_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-54 molecule_id 12166925 | SUCCESS
303_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-17 molecule_id 12171825 | SUCCESS
304_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-9 molecule_id 12174879 | SUCCESS
305_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-78 molecule_id 12180654 | SUCCESS
306_C7H10N2O4S2 : COC(=O)Cc1cs/c(=N/S(=O)(=O)C)/[nH]1-8 molecule_id 12181756 | SUCCESS
307_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-52 molecule_id 12188037 | SUCCESS
308_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-43 molecule_id 12189739 | SUCCESS
309_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-40 molecule_id 12193108 | SUCCESS
310_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-45 molecule_id 12194977 | SUCCESS
311_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-58 molecule_id 12195337 | SUCCESS
312_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-73 molecule_id 12195602 | SUCCESS
313_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-38 molecule_id 12196043 | SUCCESS
314_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-79 molecule_id 12201167 | SUCCESS
315_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-47 molecule_id 12202303 | SUCCESS
316_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-72 molecule_id 12203180 | SUCCESS
317_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-84 molecule_id 12206590 | SUCCESS
318_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-20 molecule_id 12208729 | SUCCESS
319_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-48 molecule_id 12209883 | SUCCESS
320_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-24 molecule_id 12210837 | SUCCESS
321_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-82 molecule_id 12212091 | SUCCESS
322_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-65 molecule_id 12216208 | SUCCESS
323_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-29 molecule_id 12222695 | SUCCESS
324_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-71 molecule_id 12226595 | SUCCESS
325_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-14 molecule_id 12232182 | SUCCESS
326_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-68 molecule_id 12248526 | SUCCESS
327_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-36 molecule_id 12252137 | SUCCESS
328_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-19 molecule_id 12253465 | SUCCESS
329_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-23 molecule_id 12255413 | SUCCESS
330_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-44 molecule_id 12258824 | SUCCESS
331_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-27 molecule_id 12259132 | SUCCESS
332_C2H2N4 : C(C#N)N=[N+]=[N-]-1 molecule_id 12284561 | SUCCESS
333_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-77 molecule_id 12289251 | SUCCESS
334_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-90 molecule_id 12291153 | SUCCESS
335_C7H10NO3 : CC1(C[C@]1(C(=O)N)C(=O)[O-])C-0 molecule_id 12331485 | SUCCESS
336_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-93 molecule_id 12369052 | SUCCESS
337_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-56 molecule_id 12376006 | SUCCESS
338_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-31 molecule_id 12443387 | SUCCESS
339_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-91 molecule_id 12447229 | SUCCESS
340_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-60 molecule_id 12472493 | SUCCESS
341_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-8 molecule_id 12482851 | SUCCESS
342_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-12 molecule_id 12492080 | SUCCESS
343_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-87 molecule_id 12511602 | SUCCESS
344_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-83 molecule_id 12514632 | SUCCESS
345_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-70 molecule_id 12515075 | SUCCESS
346_C24Cl2H16O4S2 : c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl-41 molecule_id 12517214 | SUCCESS
