Prepared by make_fb_optgeo_target.py
50_C14ClFH8O4 : c1cc2c(cc1OC(=O)c3ccc(cc3F)Cl)OCO2-10 molecule_id 12138969 | SUCCESS
51_C6H8N2OS : c1cc(sc1)C/C(=N\O)/N-2 molecule_id 12139038 | SUCCESS
52_C7H9IN2O : Cc1c(cnn1CC(=O)C)I-0 molecule_id 12139113 | SUCCESS
53_C9F2H6O4 : COC(=O)c1cccc2c1OC(O2)(F)F-0 molecule_id 12139172 | SUCCESS
54_C8ClH9N2O3 : C[C@@H](c1c(ccc(c1O)Cl)[N+](=O)[O-])N-1 molecule_id 12139188 | SUCCESS
55_C7H9IN2O : Cc1c(cnn1CC(=O)C)I-3 molecule_id 12139228 | SUCCESS
56_C14H11N3O4 : Cc1ccc2c(c1)c(=O)c(co2)/C=N/N3CC(=O)NC3=O-1 molecule_id 12139363 | SUCCESS
57_C10ClH10N3O : c1ccc(c(c1)OCn2cc(cn2)N)Cl-11 molecule_id 12139401 | SUCCESS
58_C14F3H14N3O : COc1cc(cc(c1)C(F)(F)F)c2[nH]c3c(n2)CNCC3-3 molecule_id 12139441 | SUCCESS
59_C11FH13O3 : Cc1ccc(c(c1)OCC2OCCO2)F-3 molecule_id 12139473 | SUCCESS
60_BrC14H13N2O : CCc1cc(c(c(c1)Br)O)/N=N/c2ccccc2-0 molecule_id 12139719 | SUCCESS
61_C9F2H6O4 : COC(=O)c1cccc2c1OC(O2)(F)F-1 molecule_id 12139744 | SUCCESS
62_C9FH7N2O4 : c1cc(c(cc1F)[C@@H]2COC(=O)N2)[N+](=O)[O-]-0 molecule_id 12139836 | SUCCESS
63_C16H17N3 : Cc1cccc2c1n(c(n2)[C@H](C)N)c3ccccc3-0 molecule_id 12139896 | SUCCESS
64_C19ClH18NO3 : c1ccc2c(c1)CCN2C(=O)Cc3cc4c(c(c3)Cl)OCCCO4-5 molecule_id 12139921 | SUCCESS
65_C10FH12N3O : c1cc(cc(c1)F)/N=N\N2CCOCC2-0 molecule_id 12139964 | SUCCESS
