Prepared by make_fb_optgeo_target.py
650_BrC12H9N2O : c1ccnc(c1)C(=O)Cc2ccnc(c2)Br-19 molecule_id 12171403 | SUCCESS
651_C19H27N3O : Cc1cc(n(n1)c2ccccc2C[N@]3CC[C@]([C@H](C3)C)(C)O)C-8 molecule_id 12171530 | SUCCESS
652_C16H21N3O3 : C[C@H]1CN(CC[C@]1(C)O)C(=O)Cn2c(=O)c3ccccc3[nH]2-20 molecule_id 12171569 | SUCCESS
653_BrC12H9N2O : c1ccnc(c1)C(=O)Cc2ccnc(c2)Br-3 molecule_id 12171620 | SUCCESS
654_C10H15NO2 : Cc1cc(oc1C)[C@H]2COCCN2-2 molecule_id 12171653 | SUCCESS
655_C20H23N3O : C[N@]1C[C@@H]2CC[C@H](C1)[N@@](C2)Cc3ccc(o3)c4ccccc4C#N-6 molecule_id 12171678 | SUCCESS
656_C20H23N3O : C[N@]1C[C@@H]2CC[C@H](C1)[N@@](C2)Cc3ccc(o3)c4ccccc4C#N-26 molecule_id 12171730 | SUCCESS
657_C11H7N5O2 : c1cc(c(nc1)O)c2nc(no2)c3cccnn3-3 molecule_id 12171774 | SUCCESS
658_C16H16N2O4S : Cc1cc(c(n1C)C)C(=O)CN2C(=O)c3ccccc3S2(=O)=O-17 molecule_id 12171926 | SUCCESS
659_C9FH8N3O2 : c1cc(c(cc1F)[C@H](CC#N)N)[N+](=O)[O-]-4 molecule_id 12171980 | SUCCESS
660_C18FH16N3O : c1cc2c(cc(nc2c(c1)F)CN3CC(C3)c4cccnc4)O-24 molecule_id 12172095 | SUCCESS
661_BrC9H14NS : Cc1c(cc(s1)CNC(C)C)Br-0 molecule_id 12172138 | SUCCESS
662_C19H27N3O : Cc1cc(n(n1)c2ccccc2C[N@]3CC[C@]([C@H](C3)C)(C)O)C-6 molecule_id 12172177 | SUCCESS
663_C10F2H10O3 : c1cc(c(c(c1)F)F)OCC2OCCO2-3 molecule_id 12172230 | SUCCESS
664_C14Cl2H10O2S : c1ccc(cc1)/C=C\S(=O)(=O)c2ccc(c(c2)Cl)Cl-0 molecule_id 12172278 | SUCCESS
665_BrC12H9N2O : c1ccnc(c1)C(=O)Cc2ccnc(c2)Br-22 molecule_id 12172329 | SUCCESS
666_C19H27N3O : Cc1cc(n(n1)c2ccccc2C[N@]3CC[C@]([C@H](C3)C)(C)O)C-10 molecule_id 12172377 | SUCCESS
667_BrC10FH10O3 : c1cc(c(cc1Br)OCC2OCCO2)F-0 molecule_id 12172424 | SUCCESS
668_C15H13N5O : Cc1c(nc(nn1)N/N=C/c2cccc3c2cccc3)O-4 molecule_id 12172478 | SUCCESS
669_C19ClH18NO3 : c1ccc2c(c1)CCN2C(=O)Cc3cc4c(c(c3)Cl)OCCCO4-3 molecule_id 12172503 | SUCCESS
