Prepared by make_fb_optgeo_target.py
1400_C10ClH13OS : CC(C)COc1ccc(cc1Cl)S-0 molecule_id 12209638 | SUCCESS
1401_C15H10N2O2 : c1ccc(cc1)/N=N\c2ccc3c(c2)ccc(=O)o3-0 molecule_id 12209666 | SUCCESS
1402_BrC14H10N3O : c1ccc(c(c1)/C=N\Nc2nc3ccccc3o2)Br-6 molecule_id 12209759 | SUCCESS
1403_C17H20N4O3 : Cc1c(cc(c(=O)[nH]1)C#N)C(=O)N2CC[C@]3(C2)CCCN(C3=O)C-0 molecule_id 12209791 | SUCCESS
1404_BrC12FH10N4 : Cc1c(c(n(n1)Cc2ccc(c(c2)Br)F)N)C#N-8 molecule_id 12209840 | SUCCESS
1405_BrC14H10N5O : Cc1nc(c(o1)N/N=C\c2c[nH]c3c2cc(cc3)Br)C#N-10 molecule_id 12210015 | SUCCESS
1406_C18ClFH12N4 : Cc1c(c(n(n1)c2ccc(cc2)F)Cl)/C=N\c3cccc(c3)C#N-3 molecule_id 12210064 | SUCCESS
1407_C16H15NOS : Cc1cccc(c1)C(=O)N2CCSc3c2cccc3-7 molecule_id 12210161 | SUCCESS
1408_C11H12N4S : C/C=C\C(=N/Nc1nc2ccccc2s1)\N-5 molecule_id 12210261 | SUCCESS
1409_C15H13N5S : Cc1c(cc(n1C)C#N)/C=N\Nc2nc3ccccc3s2-3 molecule_id 12210294 | SUCCESS
1410_C8Cl3H7N2 : c1c(c(c(c(n1)Cl)Cl)[C@H]2CCN2)Cl-0 molecule_id 12210338 | SUCCESS
1411_BrC14H10N3O : c1ccc(c(c1)/C=N\Nc2nc3ccccc3o2)Br-12 molecule_id 12210365 | SUCCESS
1412_BrC13Cl3H6N4 : c1cc(ccc1/C=N\Nc2c(c(c(c(n2)Cl)C#N)Cl)Cl)Br-6 molecule_id 12210405 | SUCCESS
1413_C16H15NOS : Cc1cccc(c1)C(=O)N2CCSc3c2cccc3-0 molecule_id 12210453 | SUCCESS
1414_C13Cl2H8O2S : c1cc(ccc1Sc2ccc(cc2C(=O)O)Cl)Cl-5 molecule_id 12210492 | SUCCESS
