Prepared by make_fb_optgeo_target.py
50_C7H10N2O4S2 : COC(=O)Cc1cs/c(=N/S(=O)(=O)C)/[nH]1-19 molecule_id 12123967 | SUCCESS
51_C5ClH4NO2S : c1c[nH+]c(cc1Cl)[S@@](=O)[O-]-0 molecule_id 12124048 | SUCCESS
52_C7H9N2O4S2 : COC(=O)Cc1csc(n1)[N-]S(=O)(=O)C-37 molecule_id 12124095 | SUCCESS
53_C5ClH5NO2S : c1c[nH+]c(cc1Cl)[S@](=O)O-1 molecule_id 12124154 | SUCCESS
54_C5H6N5O : C[C@@H](c1[nH]c(=O)[n-]n1)NC#N-0 molecule_id 12124170 | SUCCESS
55_C7H9N2O4S2 : COC(=O)Cc1csc(n1)[N-]S(=O)(=O)C-17 molecule_id 12124337 | SUCCESS
56_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-4 molecule_id 12124388 | SUCCESS
57_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-50 molecule_id 12124430 | SUCCESS
58_C7H9N2O4S2 : COC(=O)Cc1csc(n1)[N-]S(=O)(=O)C-15 molecule_id 12124580 | SUCCESS
59_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-18 molecule_id 12124809 | SUCCESS
60_C7H9N2O4S2 : COC(=O)Cc1csc(n1)[N-]S(=O)(=O)C-10 molecule_id 12124873 | SUCCESS
61_C2H5N2S2 : CSC(=S)[N-]N-3 molecule_id 12125073 | SUCCESS
62_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-29 molecule_id 12125095 | SUCCESS
63_C7H9N2O4S2 : COC(=O)Cc1csc(n1)[N-]S(=O)(=O)C-11 molecule_id 12125148 | SUCCESS
64_C7H9N2O4S2 : COC(=O)Cc1csc(n1)[N-]S(=O)(=O)C-13 molecule_id 12125214 | SUCCESS
65_BrC3H7O2S : CC(C)S(=O)(=O)Br-0 molecule_id 12125268 | SUCCESS
66_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-13 molecule_id 12125375 | SUCCESS
67_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-34 molecule_id 12125474 | SUCCESS
68_C7H9N2O4S2 : COC(=O)Cc1csc(n1)[N-]S(=O)(=O)C-36 molecule_id 12125522 | SUCCESS
