Prepared by make_fb_optgeo_target.py
100_Br2C2ClF3 : [C@@](C(F)(F)Br)(F)(Cl)Br-2 molecule_id 12128234 | SUCCESS
101_C4H10N2OS : C[S@@](=N)(=O)NC1CC1-0 molecule_id 12128253 | SUCCESS
102_C7H9N2O4S2 : COC(=O)Cc1csc(n1)[N-]S(=O)(=O)C-27 molecule_id 12128287 | SUCCESS
103_C5H7N5O : C[C@@H](c1[nH]c(=O)[nH]n1)NC#N-2 molecule_id 12128355 | SUCCESS
104_C5H7N5O : C[C@@H](c1[nH]c(=O)[nH]n1)NC#N-3 molecule_id 12128390 | SUCCESS
105_C4H10NO3PS : CC(=O)N[P@](=O)(OC)SC-3 molecule_id 12128455 | SUCCESS
106_C4H4N5O : C1=N[C@H](C(=N1)C(=O)N)[N+]#N-0 molecule_id 12128529 | SUCCESS
107_C10H16N3O : CC[C@@H]1C[C@]1(c2ccc(nn2)OC)[NH3+]-0 molecule_id 12128555 | SUCCESS
108_C4Cl3H7NO4P : COP(=O)(NC(=O)C(Cl)(Cl)Cl)OC-2 molecule_id 12128581 | SUCCESS
109_C8H14N2O3 : C1CC1NC(=O)C[N@@]2C[C@H](CO2)O-6 molecule_id 12128717 | SUCCESS
110_C7H9N2OS : C[C@]1(CC(=O)N1)c2[nH+]ccs2-0 molecule_id 12128760 | SUCCESS
111_C17H15O3 : COc1ccc(cc1OC)c2ccc3ccccc3[o+]2-0 molecule_id 12128817 | SUCCESS
112_C10H16N3O : CC[C@@H]1C[C@]1(c2ccc(nn2)OC)[NH3+]-1 molecule_id 12128974 | SUCCESS
113_C8H14N2O3 : C1CC1NC(=O)C[N@@]2C[C@H](CO2)O-7 molecule_id 12129002 | SUCCESS
114_C8H14N2O3 : C1CC1NC(=O)C[N@@]2C[C@H](CO2)O-8 molecule_id 12129047 | SUCCESS
115_C7H10N2O4S2 : COC(=O)Cc1cs/c(=N/S(=O)(=O)C)/[nH]1-17 molecule_id 12129092 | SUCCESS
116_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-6 molecule_id 12129138 | SUCCESS
117_C7H9N2O4S2 : COC(=O)Cc1csc(n1)[N-]S(=O)(=O)C-40 molecule_id 12129201 | SUCCESS
118_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-20 molecule_id 12129235 | SUCCESS
119_C7H10N2O4S2 : COC(=O)Cc1cs/c(=N/S(=O)(=O)C)/[nH]1-4 molecule_id 12129290 | SUCCESS
