Prepared by make_fb_optgeo_target.py
150_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-11 molecule_id 12131284 | SUCCESS
151_C4H10NO3PS : CC(=O)N[P@](=O)(OC)SC-5 molecule_id 12131480 | SUCCESS
152_C8H15N2O3 : C1CC1NC(=O)C[N@H+]2C[C@H](CO2)O-5 molecule_id 12131509 | SUCCESS
153_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-3 molecule_id 12131553 | SUCCESS
154_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-38 molecule_id 12131604 | SUCCESS
155_C8H15N2O3 : C1CC1NC(=O)C[N@H+]2C[C@H](CO2)O-1 molecule_id 12131653 | SUCCESS
156_C8H15N2O3 : C1CC1NC(=O)C[N@H+]2C[C@H](CO2)O-6 molecule_id 12131698 | SUCCESS
157_C8H14N2O3 : C1CC1NC(=O)C[N@@]2C[C@H](CO2)O-13 molecule_id 12131781 | SUCCESS
158_C8H15N2O3 : C1CC1NC(=O)C[N@H+]2C[C@H](CO2)O-2 molecule_id 12131893 | SUCCESS
159_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-14 molecule_id 12131941 | SUCCESS
160_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-41 molecule_id 12132001 | SUCCESS
161_C8H15N2O3 : C1CC1NC(=O)C[N@H+]2C[C@H](CO2)O-0 molecule_id 12132061 | SUCCESS
162_C17H15O3 : COc1ccc(cc1OC)c2ccc3ccccc3[o+]2-2 molecule_id 12132110 | SUCCESS
163_BrC3H4N4 : C(CBr)c1n[n-]nn1-0 molecule_id 12132192 | SUCCESS
164_C12FH10NO4S2 : c1ccc(cc1)S(=O)(=O)N(F)S(=O)(=O)c2ccccc2-0 molecule_id 12132220 | SUCCESS
165_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-22 molecule_id 12132266 | SUCCESS
166_C7H9NO : C=C=CN1CCCC1=O-0 molecule_id 12132309 | SUCCESS
167_C8H15N2O3 : C1CC1NC(=O)C[N@H+]2C[C@H](CO2)O-3 molecule_id 12132361 | SUCCESS
168_BrC3H4N4 : C(CBr)c1n[n-]nn1-1 molecule_id 12132410 | SUCCESS
169_C8H15N2O3 : C1CC1NC(=O)C[N@H+]2C[C@H](CO2)O-13 molecule_id 12132508 | SUCCESS
170_C8H15N2O3 : C1CC1NC(=O)C[N@H+]2C[C@H](CO2)O-11 molecule_id 12132607 | SUCCESS
171_C8H15N2O3 : C1CC1NC(=O)C[N@H+]2C[C@H](CO2)O-8 molecule_id 12132652 | SUCCESS
172_C7H10N2O4S2 : COC(=O)Cc1csc(n1)NS(=O)(=O)C-16 molecule_id 12132700 | SUCCESS
