Prepared by make_fb_optgeo_target.py
200_C10H9NO2 : COc1cc(=O)[nH]c2c1cccc2-0 molecule_id 12147937 | SUCCESS
201_C12ClH10N3O3S : c1cc(ccc1/N=N\c2ccc(c(c2)Cl)O)S(=O)(=O)N-3 molecule_id 12147958 | SUCCESS
202_C9H13NO2 : Cc1ccc(o1)[C@H]2COCCN2-1 molecule_id 12148038 | SUCCESS
203_C17H16N2OS : Cc1cccc(c1O)/C=N\c2c(c3c(s2)CCCC3)C#N-0 molecule_id 12148051 | SUCCESS
204_C11FH13O3 : Cc1ccc(c(c1)OCC2OCCO2)F-6 molecule_id 12148186 | SUCCESS
205_BrC10H9N2O : Cc1nc(on1)c2ccccc2CBr-2 molecule_id 12148229 | SUCCESS
206_C14H18N4OS : Cc1c(scn1)Cc2[nH]c3c(n2)C(=O)NCC(C3)(C)C-5 molecule_id 12148277 | SUCCESS
207_C15H13N3 : Cc1ccc(cc1)/N=N/c2c[nH]c3c2cccc3-0 molecule_id 12148341 | SUCCESS
208_C11H17N3OS : Cc1c(sc(n1)NC(=O)C2CCNCC2)C-3 molecule_id 12148377 | SUCCESS
209_C10F3H9O3 : c1cc(c(c(c1OCC2OCCO2)F)F)F-4 molecule_id 12148421 | SUCCESS
210_C8F5H5O2S : c1cc(c(c(c1)F)CS(=O)(=O)C(F)(F)F)F-3 molecule_id 12148470 | SUCCESS
211_C16H11N3OS : Cc1ccccc1c2nc(on2)/C(=C\c3ccsc3)/C#N-1 molecule_id 12148516 | SUCCESS
212_C8Cl2H8N2O2 : c1cc(c(cc1Cl)Cl)OC/C(=N/O)/N-13 molecule_id 12148553 | SUCCESS
213_C11H7N3O2S : c1cc(c(nc1)O)c2nc(no2)c3ccsc3-0 molecule_id 12148599 | SUCCESS
214_C11H10O2 : CCOC(=O)c1ccccc1C#C-1 molecule_id 12148610 | SUCCESS
215_C17ClH21N4O : Cc1ccc(c(c1)n2c(c(c(n2)C)/C=N\N3CCOCC3)Cl)C-0 molecule_id 12148635 | SUCCESS
216_BrC9H7N2 : c1cc(ncc1Br)C2(CC2)C#N-0 molecule_id 12148683 | SUCCESS
217_C14H18N4OS : Cc1c(scn1)Cc2[nH]c3c(n2)C(=O)NCC(C3)(C)C-12 molecule_id 12148726 | SUCCESS
218_C14ClFH8O4 : c1cc2c(cc1OC(=O)c3ccc(cc3F)Cl)OCO2-22 molecule_id 12148776 | SUCCESS
219_C16H11N3OS : Cc1ccccc1c2nc(on2)/C(=C/c3cccs3)/C#N-11 molecule_id 12148839 | SUCCESS
220_C11H10O2 : CCOC(=O)c1ccccc1C#C-2 molecule_id 12148876 | SUCCESS
