Prepared by make_fb_optgeo_target.py
800_C16H13N3O4S : C/C(=N\NC1=NS(=O)(=O)c2c1cccc2)/c3ccc4c(c3)OCO4-3 molecule_id 12180226 | SUCCESS
801_C15Cl2H16N4O : Cc1c(c(n(n1)c2ccccc2Cl)Cl)/C=N/N3CCOCC3-7 molecule_id 12180325 | SUCCESS
802_C10H18N2O2 : CN(C)C(=O)CN1CC2(C1)CCCO2-5 molecule_id 12180363 | SUCCESS
803_C10H18N2O2 : CN(C)C(=O)CN1CC2(C1)CCCO2-7 molecule_id 12180433 | SUCCESS
804_C8F5H5O2S : c1cc(c(c(c1)F)CS(=O)(=O)C(F)(F)F)F-0 molecule_id 12180478 | SUCCESS
805_C10H11N3O : Cc1cccc2c1[nH]cc2/C(=N/O)/N-2 molecule_id 12180514 | SUCCESS
806_C18FH16N3O : c1cc2c(cc(nc2c(c1)F)CN3CC(C3)c4cccnc4)O-33 molecule_id 12180535 | SUCCESS
807_C16H21N3O3 : C[C@H]1CN(CC[C@]1(C)O)C(=O)Cn2c(=O)c3ccccc3[nH]2-42 molecule_id 12180573 | SUCCESS
808_C16H16N2O4S : Cc1cc(c(n1C)C)C(=O)CN2C(=O)c3ccccc3S2(=O)=O-26 molecule_id 12180616 | SUCCESS
809_C18FH16N3O : c1cc2c(cc(nc2c(c1)F)CN3CC(C3)c4cccnc4)O-36 molecule_id 12180737 | SUCCESS
810_C15ClH10N3O4S : c1ccc2c(c1)C(=NS2(=O)=O)N/N=C/c3cc4c(cc3Cl)OCO4-1 molecule_id 12180793 | SUCCESS
811_C8FH9N2O : c1cc(cc(c1)F)C/C(=N\O)/N-7 molecule_id 12180834 | SUCCESS
812_C16H21N3O3 : C[C@H]1CN(CC[C@]1(C)O)C(=O)Cn2c(=O)c3ccccc3[nH]2-15 molecule_id 12180882 | SUCCESS
813_C18FH16N3O : c1cc2c(cc(nc2c(c1)F)CN3CC(C3)c4cccnc4)O-8 molecule_id 12180959 | SUCCESS
814_C10H11N3O : Cc1ccc2c(c1)c(c[nH]2)/C(=N\O)/N-1 molecule_id 12180995 | SUCCESS
815_C15ClH10N3O4S : c1ccc2c(c1)C(=NS2(=O)=O)N/N=C/c3cc4c(cc3Cl)OCO4-2 molecule_id 12181094 | SUCCESS
