Prepared by make_fb_optgeo_target.py
1000_C9FH12NO : Cc1c(cc(cc1F)CN)OC-0 molecule_id 12171455 | SUCCESS
1001_C7FH11N2 : Cn1cccc1[C@H](CF)N-1 molecule_id 12176995 | SUCCESS
1002_C18H13N3O : Cc1ccccc1c2nc(on2)/C(=C\c3ccccc3)/C#N-12 molecule_id 12177055 | SUCCESS
1003_C9FH12NO : Cc1c(cc(cc1F)CN)OC-1 molecule_id 12177570 | SUCCESS
1004_BrC8H9N2O : CCNC(=O)c1cc(cnc1)Br-1 molecule_id 12178341 | SUCCESS
1005_BrC8H9N2O : CCNC(=O)c1cc(cnc1)Br-0 molecule_id 12178781 | SUCCESS
1006_C18H13N3O : Cc1ccccc1c2nc(on2)/C(=C\c3ccccc3)/C#N-3 molecule_id 12179142 | SUCCESS
1007_C15H13N3 : c1cc2c(cc1Nc3ccc(cn3)C#N)CCC2-2 molecule_id 12179407 | SUCCESS
1008_C15H13N5S : Cc1c(cc(n1C)C#N)/C=N\Nc2nc3ccccc3s2-4 molecule_id 12181045 | SUCCESS
1009_C18H13N3O : Cc1ccccc1c2nc(on2)/C(=C\c3ccccc3)/C#N-11 molecule_id 12181299 | SUCCESS
1010_C8H4N2O4 : c1cc(c(cc1C(=O)O)[N+](=O)[O-])C#N-0 molecule_id 12181824 | SUCCESS
1011_C18H13N3O : Cc1ccccc1c2nc(on2)/C(=C\c3ccccc3)/C#N-13 molecule_id 12182151 | SUCCESS
1012_C7FH11N2 : Cn1cccc1[C@H](CF)N-0 molecule_id 12182467 | SUCCESS
1013_C10H7N5O : c1ccc(cc1)/N=N/c2[nH]c(c(n2)O)C#N-1 molecule_id 12182680 | SUCCESS
1014_C15H13N3 : c1cc2c(cc1Nc3ccc(cn3)C#N)CCC2-1 molecule_id 12182709 | SUCCESS
1015_C15H13N5S : Cc1c(cc(n1C)C#N)/C=N\Nc2nc3ccccc3s2-1 molecule_id 12183195 | SUCCESS
1016_C15H13N5S : Cc1c(cc(n1C)C#N)/C=N\Nc2nc3ccccc3s2-14 molecule_id 12183380 | SUCCESS
1017_C15H13N5S : Cc1c(cc(n1C)C#N)/C=N\Nc2nc3ccccc3s2-9 molecule_id 12183558 | SUCCESS
1018_C16H12N2O2 : c1ccc2c(c1)N(CCO2)C(=O)c3ccc(cc3)C#N-0 molecule_id 12183608 | SUCCESS
1019_C16H12N2O2 : c1ccc2c(c1)N(CCO2)C(=O)c3ccc(cc3)C#N-3 molecule_id 12183781 | SUCCESS
1020_C15H13N5S : Cc1c(cc(n1C)C#N)/C=N\Nc2nc3ccccc3s2-10 molecule_id 12183810 | SUCCESS
1021_C15H13N3 : c1cc2c(cc1Nc3ccc(cn3)C#N)CCC2-3 molecule_id 12184319 | SUCCESS
1022_C15Cl2H10N4 : c1ccc2c(c1)c(ncn2)N/N=C\c3ccc(c(c3)Cl)Cl-0 molecule_id 12184535 | SUCCESS
