Prepared by make_fb_optgeo_target.py
1500_C15H23N3O2S : CS(=O)(=O)[N@@]1CC[C@]2(C1)CCC[N@@](C2)Cc3ccccn3-3 molecule_id 12215536 | SUCCESS
1501_C11ClH8NO4S2 : c1cc2c(cc1NS(=O)(=O)c3ccc(s3)Cl)OCO2-14 molecule_id 12215632 | SUCCESS
1502_C16H15N3O2S : Cc1ccc(c(c1)/C=N/NC2=NS(=O)(=O)c3c2cccc3)C-6 molecule_id 12215680 | SUCCESS
1503_BrC9F2H6NO : c1c(c(cc(c1F)Br)F)OCCC#N-2 molecule_id 12215728 | SUCCESS
1504_C16H15N5 : Cc1cc(c2ccccc2n1)Cn3c(c(c(n3)C)C#N)N-8 molecule_id 12215781 | SUCCESS
1505_BrC19H17N2O2 : Cc1ccc(cc1C)N/N=C(/C)\c2cc3cc(ccc3oc2=O)Br-10 molecule_id 12215835 | SUCCESS
1506_C16H15NOS : Cc1cccc(c1)C(=O)N2CCSc3c2cccc3-9 molecule_id 12215879 | SUCCESS
1507_BrC9F2H6NO : c1c(c(cc(c1F)Br)F)OCCC#N-4 molecule_id 12215940 | SUCCESS
1508_C16H15NO6S : Cc1ccc(c(c1)S(=O)(=O)[N@@]2CCOc3c2cccc3C(=O)O)O-14 molecule_id 12216003 | SUCCESS
1509_C18H13N3O : Cc1ccccc1c2nc(on2)/C(=C\c3ccccc3)/C#N-2 molecule_id 12216068 | SUCCESS
1510_C11ClH8NO4S2 : c1cc2c(cc1NS(=O)(=O)c3ccc(s3)Cl)OCO2-8 molecule_id 12216118 | SUCCESS
1511_C15FH12NOS : c1ccc2c(c1)N(CCS2)C(=O)c3cccc(c3)F-0 molecule_id 12216157 | SUCCESS
1512_C8H7N5S : c1ccnc(c1)/C=N/n2cnnc2S-2 molecule_id 12216192 | SUCCESS
1513_C14H14N2O2S2 : Cc1ccc(cc1)N/N=C/2\CCS(=O)(=O)c3c2ccs3-0 molecule_id 12216328 | SUCCESS
1514_C13H15N5O2 : Cc1c(c(on1)C)C[N@@](C)c2c3c(noc3ncn2)C-0 molecule_id 12216364 | SUCCESS
1515_C16H18N6 : Cc1ccc(cc1)N/N=C(/C#N)\c2nnc3n2CCCCC3-2 molecule_id 12216428 | SUCCESS
1516_C11ClH8NO4S2 : c1cc2c(cc1NS(=O)(=O)c3ccc(s3)Cl)OCO2-17 molecule_id 12216478 | SUCCESS
1517_C7F4H3NO3 : c1cc(c(cc1F)OC(F)(F)F)[N+](=O)[O-]-1 molecule_id 12216524 | SUCCESS
1518_C20H26N4O : Cc1cc(nc(c1C#N)[N@]2CC[C@]3(C2)CCCN(C3=O)CC4CC4)C-2 molecule_id 12216556 | ERROR: Unable to make OFFMol from OEMol: OEMol has unspecified stereochemistry. oemol.GetTitle(): 
Problematic atoms are:
Atom atomic num: 7, name: N3, idx: 22, aromatic: False, chiral: True with bonds:
bond order: 1, chiral: False to atom atomic num: 6, name: C6, idx: 5, aromatic: True, chiral: False
bond order: 1, chiral: False to atom atomic num: 6, name: C14, idx: 13, aromatic: False, chiral: False
bond order: 1, chiral: False to atom atomic num: 6, name: C15, idx: 14, aromatic: False, chiral: False

1519_C11ClH8NO4S2 : c1cc2c(cc1NS(=O)(=O)c3ccc(s3)Cl)OCO2-24 molecule_id 12216607 | SUCCESS
1520_C13H14N4O4S2 : Cn1cc(c(=O)n(c1=O)C)S(=O)(=O)[N@@]2CCSc3c2cccn3-0 molecule_id 12216655 | SUCCESS
1521_C16H15N5 : Cc1cc(c2ccccc2n1)Cn3c(c(c(n3)C)C#N)N-4 molecule_id 12216727 | SUCCESS
1522_C8ClFH6OS : CC(=O)Sc1ccc(c(c1)F)Cl-2 molecule_id 12216789 | SUCCESS
1523_C13H14N4O4S2 : Cn1cc(c(=O)n(c1=O)C)S(=O)(=O)[N@@]2CCSc3c2cccn3-3 molecule_id 12216806 | SUCCESS
1524_C11ClH8NO4S2 : c1cc2c(cc1NS(=O)(=O)c3ccc(s3)Cl)OCO2-22 molecule_id 12216863 | SUCCESS
1525_C9FH8N3O : c1cc2c(cc1F)c(c[nH]2)/C(=N\O)/N-0 molecule_id 12216902 | SUCCESS
1526_C16H15N3O2S : Cc1ccc(c(c1)/C=N/NC2=NS(=O)(=O)c3c2cccc3)C-2 molecule_id 12216930 | SUCCESS
